,Score
6446,4.0
1760,3.9166666666666665
2201,3.8833333333333333
2368,3.766666666666666
2345,3.75
1301,3.6333333333333333
5871,3.566666666666667
2412,3.5
2474,3.4833333333333334
4743O,3.416666666666667
2317,3.3000000000000003
1303,3.283333333333333
1326,3.25
2308,3.1166666666666667
2892,3.0333333333333337
2884,2.883333333333333
3036,2.8499999999999996
2891,2.733333333333333
2357,2.7166666666666663
2634,2.65
3443,2.6333333333333333
5274O,2.5166666666666666
2882,2.4833333333333334
2881,2.466666666666667
2618,2.35
2883,2.3000000000000003
1101,2.2333333333333334
2886,2.166666666666667
8454,2.1000000000000005
3533,2.0166666666666666
2330,1.9333333333333336
6547O,1.9333333333333333
3481,1.9166666666666667
2377,1.8166666666666667
2885,1.7666666666666666
2610,1.6833333333333333
3017,1.6500000000000001
1605,1.6166666666666667
2609,1.5500000000000003
2408,1.4666666666666666
6415,1.45
2303,1.4499999999999997
2379,1.4333333333333333
2002,1.15
2344,1.1
3711,1.0333333333333332
2376,0.9166666666666666
2454,0.7999999999999999
6669,0.7333333333333334
3035,0.7000000000000001
2327,0.6833333333333333
3661,0.6166666666666666
2615,0.5
3034,0.41666666666666674
2606,0.4166666666666667
3529O,0.38333333333333336
2603,0.3333333333333333
3037,0.30000000000000004
2637,0.13333333333333333
6770,0.11666666666666667
